"状态","功能","给小鸭CEO/VC的解释","当前判断","验证下一步"
"已验证","主动记录坑点","用户不用等 AI 犯错，可以主动把一个坑记进系统，让团队以后少踩一次。","`pitfall --non-interactive` 已验证可写入临时 knowledge.db，并在 stats/review 中可见。","若要验证提醒效果，再复现相关场景确认命中。"
"部分验证","团队审核门","个人经验进入团队前先检查，防止坏知识、重复知识或敏感内容污染大家。","`review-candidates` approve 流程已验证可经人工输入批准后写入知识库；但 CLI help 未见 team submit，team scope 未独立支持。","需要完成个人经验提交到团队知识库的多人/团队闭环验证。"
"失败/不稳定","完整测试绿灯","不能说整船过检，因为完整 test gate 还不是绿的。","`pnpm test` 当前失败：2 个真实 E2E 30s timeout。","修复或明确隔离 `e2e-evaluate` 与 `sandbox-all-features` timeout。"
"失败/不稳定","真实 E2E 评估流程","真实试驾没跑完，不能当已验证卖点。","`packages/cli/src/__tests__/e2e-evaluate.test.ts` timeout。","定位超时原因，跑到 exit 0 后再 claim。"
"失败/不稳定","全功能沙箱 E2E","全套沙盒演练没跑完，不能 claim 全场景安全。","`packages/cli/src/__tests__/sandbox-all-features.test.ts` timeout。","定位超时原因，跑到 exit 0 后再 claim。"
"失败/不稳定","报 bug 固定流程","报 bug 模板当前没过验证，不能当稳定交付功能。","`docs/bugreport/verify-canned-answer.sh` 今天失败。","修复 canned answer 或验证脚本后重跑。"
"失败/不稳定","DOGFOOD 固定话术","沙箱本体可用，但固定回答验证不稳定。","两个 subagent 结果冲突：一个 PASS，一个 FAIL。","稳定 canned answer 验证后再把话术当成 release claim。"
"文档规划","团队经验自动共享","张三踩过的坑，李四明天的 AI 自动知道。","这是最强 CEO 故事，但本轮未验证。","需要双用户或双 instance 真实同步验证。"
"文档规划","新同事继承团队经验","新人第一天就像带着老员工经验开工。","融资故事强，但本轮未验证。","需要干净新用户环境验证 onboarding。"
"文档规划","团队知识自动同步","不用开会、不用手动写文档，经验自动上传下载。","Phase 级规划，本轮未验证。","需要上传、下载、冲突、回滚完整链路。"
"文档规划","隐私脱敏","经验共享前先挡住密钥、邮箱、内部路径等敏感信息。","团队化前必须验证，本轮未验证。","准备敏感样本，确认会拦截或打码。"
"文档规划","多工具支持","未来同一套团队大脑可给 Claude、Codex、Cursor 等工具用。","远期扩展卖点，本轮未验证。","至少完成 Claude 与 Codex hard-match 验证。"
"文档规划","收益周报","用数据证明团队是否真的少犯重复错误。","适合 CEO/VC 看 ROI，目前是计划。","定义指标并跑一周以上真实使用数据。"
